vi,en,lesson
á,ah,1
ở,live,1
ô,umbrella,1
ư,uh,1
ai,who,63
ám,haunt,63
ăn,eat,1
an,safe,1
áo,shirt,1
âu,European,1
bà,grandma,1
ba,three,1
bị,bag,1
bỉ,Belgium,1
bộ,set,1
bố,dad,1
bò,cow,1
cả,chief,1
cá,fish,1
ca,shift,1
cò,trigger,1
có,have,1
cổ,neck,1
cỏ,grass,1
cờ,flag,1
cũ,old,2
cú,owl,2
da,skin,2
dễ,easy,2
dê,goat,2
dì,aunt,2
dơ,dirty,2
đá,stone,2
đã,satisfied,2
để,to,2
đi,go,2
đỏ,red,2
đó,there,2
đỡ,support,2
đo,measure,2
đủ,enough,2
em,you,67
gà,chicken,62
gì,what,62
hè,summer,68
họ,surname,68
ít,little,69
kể,tell,69
là,to be,2
lá,leaf,2
lạ,strange,2
lẻ,odd,2
ly,glass,2
ma,ghost,3
mà,but,3
me,tamarind,3
mẹ,mom,3
mơ,dream,3
mở,open,3
mũ,hat,3
mỹ,America,3
nổ,explode,3
nó,it,3
no,full,3
ôm,hug,74
ổn,fine,74
ớt,chilli,74
rẻ,cheap,3
rễ,root,3
sẽ,will,76
sợ,scared,3
số,number,3
sự,consistency,3
tệ,bad,77
tờ,sheet,79
tự,on one's own,3
tư,private,3
từ,from,3
tù,prison,3
tỷ,dollar,80
úc,Australia,80
và,and,4
vé,ticket,4
về,about,4
vẽ,draw,4
vị,taste,4
vì,because,4
ví,wallet,4
vợ,wife,81
xa,distant,82
xe,car,82
ảnh,image,4
anh,older brother,4
bắc,north,60
bài,post,63
bán,sell,4
bạn,you,4
bản,copy,4
bàn,table,4
bao,bag,4
báo,newspaper,4
bát,bowl,4
bật,bounce,4
bay,fly,4
bảy,seven,4
bên,beside,63
bếp,kitchen,63
bởi,by,4
bơi,swim,4
bốn,four,64
bột,flour,64
búa,hammer,5
bữa,meal,5
bức,pervasive,64
các,the,64
cái,female,64
cấm,ban,5
cam,orange,5
cần,need,5
cắn,bite,5
căn,base,5
cao,high,5
cáo,fox,5
cát,sand,64
cầu,bridge,5
câu,sentence,5
cây,tree,64
chỉ,only,5
chị,older sister,5
cho,give,5
chợ,market,5
chờ,wait,5
chó,dog,5
chú,uncle,65
cởi,take off,65
cơm,rice,65
cơn,attack,5
con,child,5
của,belong to,6
cửa,door,6
cừu,sheep,6
cứu,rescue,6
dài,long,66
dám,dare,66
dao,knife,61
dậy,wake up,6
dạy,teach,6
dép,sandal,61
dơi,bat,67
dừa,coconut,61
đậm,dark,6
đầm,dress,6
đàn,lit,6
đạn,bullet,6
đảo,island,61
đắt,expensive,6
đất,land,6
đầu,head,6
đâu,where,6
đau,painful,6
đây,this,66
đen,black,6
đèn,lamp,6
đến,arrive,6
đẹp,beautiful,61
đều,even,66
đĩa,plate,66
đoá,maximum,67
đọc,read,67
đội,team,6
đợi,wait,6
đôi,pair,6
đưa,give,61
đức,virtue,61
ếch,frog,67
gái,girl,62
gần,near the,62
gặp,meet,62
gấu,bear,62
gãy,broken,62
ghế,chair,62
giá,price,62
gió,wind,7
giờ,hour,7
giữ,hold,7
gọi,call,7
gửi,send,7
hai,two,68
hát,sing,7
hay,good,7
hãy,let's,7
heo,pig,68
hết,run out of,7
hoa,flower,68
học,learn,68
hỏi,ask,7
hơi,steam,7
hòn,island,7
hơn,than,7
hôn,kiss,7
hộp,box,68
huế,hue,68
ích,useful,69
kém,least,69
kéo,drag,69
khỉ,monkey,7
khi,when,7
khó,difficult,69
kia,there,70
lạc,lost,70
lái,driving,7
lại,again,7
làm,do,7
lăm,five,7
làn,lane,8
lần,time,8
lấy,take,70
lên,go up,70
lợi,profit,8
lỗi,error,8
lớn,big,70
lửa,fire,71
lúc,at the time,71
mặc,wear,71
mái,roof,71
mắt,eye,8
mặt,face,8
mất,lost,8
màu,color,8
máu,blood,8
mây,cloud,8
máy,machine,8
mèo,cat,71
mét,meter,71
mọi,all,8
mời,invite,8
mỗi,each,8
mới,new,8
môn,subject,8
món,dish,8
mốt,fashion,8
một,one,8
mùa,season,9
mua,buy,9
mưa,rain,9
múa,dance,9
mũi,nose,72
nam,male,9
năm,year,9
nấm,mushroom,9
nào,any,9
não,brain,9
nấu,cook,9
nâu,brown,9
nay,now,9
này,this,9
nền,background,9
nên,should,9
nếu,if,72
nga,Russia,9
ngã,fall,9
ngủ,sleep,72
nhà,home,73
nhớ,miss,9
nhỏ,small,9
như,like,73
nói,speak,9
nơi,place,9
nửa,half,73
núi,mountain,73
núp,hide,74
ong,bee,10
ông,grandfather,10
phà,ferry,74
phi,fly,74
phở,noodle soup,74
pin,battery,75
quà,gift,10
quả,fruit,10
quá,too,10
quỹ,fund,75
rắn,snake,75
rất,very,75
rau,vegetable,75
rồi,already,75
rửa,wash,10
rùa,turtle,10
sai,wrong,76
sân,yard,76
sáo,flute,10
sao,Star,10
sắp,about to,76
sau,after,10
sáu,six,10
say,drunk,10
séc,Czech,76
sói,wolf,10
sớm,early,76
sữa,milk,10
sửa,fix,10
tại,in,10
tai,ears,10
tám,eight,10
tắm,take a shower,10
tấm,sheet,10
táo,apple,76
tập,practice,76
tắt,turn off,11
tất,socks,11
tây,west,77
tên,name,77
tết,Tet,77
thà,rather,77
thì,then,77
thơ,verse,11
thờ,worship,11
thỏ,rabbit,11
thứ,rank,11
thư,letters,11
thu,collect,11
thứ,rank,11
thử,try,11
tìm,find,11
tím,purple,11
tin,believe,78
tóc,hair,79
tới,next,11
tôi,I,11
tối,dark,11
tốt,good,11
trà,tea,79
trẻ,young,11
tre,bamboo,11
túi,bag,11
tuy,although,11
ủng,boot,80
ước,wish,80
vẫn,still,80
vào,enter,80
vậy,so,12
váy,dress,12
vẹt,parrot,12
vịt,duck,12
với,with,12
voi,elephant,12
vua,king,81
xám,grey,12
xấu,bad,82
xây,build,82
xem,see,12
xin,ask for,82
yêu,love,82
bằng,equal,12
bánh,cake,12
bệnh,sick,12
biển,sea,12
biết,know,63
bóng,ball,12
bỗng,suddenly,12
buộc,tie,60
buổi,session,60
buồn,sad,12
canh,soup,12
cạnh,edge,12
cành,branch,12
chai,bottle,64
chạm,touch,12
chậm,slow,12
chân,foot,12
chào,hello,13
châu,continent,13
chay,vegetarian,13
chạy,run,13
chết,die,65
chim,bird,13
chín,ripe,13
chơi,play,65
chọn,select,65
chưa,not yet,13
chùa,pagoda,13
chữa,cure,13
chứa,contain,13
công,labour,13
cũng,also,13
cùng,together,13
cúng,worship,13
cuộc,convergence,66
cưới,marry,13
cười,laugh,13
cuốn,coil,66
dành,spend,61
diều,kite,61
dùng,use,14
dừng,stop,14
dưới,below,62
đảng,party,13
đang,in progress,13
điểm,point,67
điều,thing,61
đông,winter,14
đồng,copper,14
đừng,do not,14
đúng,correct,14
đứng,stand,14
được,Okay,62
đuôi,tail,62
ghét,hate,67
giấc,sleep,62
giảm,reduce,62
giàu,rich,14
giấu,hide,14
giây,second,14
giày,shoe,14
giấy,paper,14
giết,kill,67
giữa,between,67
giúp,help,67
hang,cave,68
hiểu,understand,68
hoặc,or,68
hoãn,delay,68
hồng,pink,68
kênh,channel,69
khác,other,14
khám,examination,69
khóc,cry,14
khoẻ,strong,14
khói,smoke,14
kiếp,lifetime,70
kính,glasses,70
làng,village,14
lạnh,cold,14
lịch,calendar,70
liềm,sickle,14
lính,soldier,14
loại,type,70
luật,law,71
lưng,back,15
lược,comb,15
lưỡi,tongue,15
luôn,always,15
lượt,turn,15
mang,carry,15
mạng,network,15
mì ý,pasta,15
mình,me,15
mươi,fifty,15
muỗi,mosquito,15
muối,salt,15
mười,ten,15
muốn,want,15
nặng,heavy,72
ngắn,short,72
ngày,day,15
nghe,listen,15
nghĩ,think,72
ngôi,throne,15
ngồi,sit,15
ngon,tasty,72
ngựa,horse,72
ngực,chest,72
nhấc,lift,15
nhạc,music,15
nhắm,aim,16
nhẫn,ring,16
nhạt,bland,16
nhất,best,16
nhật,Japan,16
nhảy,dance,73
nhện,spider,16
nhìn,look,16
nhóm,group,16
nóng,hot,16
nước,water,74
phải,right,74
pháp,France,74
phim,movie,74
phút,minute,75
quận,district,16
quần,trousers,16
quạt,fan,75
quên,forget,16
rằng,That,16
răng,tooth,16
rồng,dragon,16
rộng,wide,16
rừng,forest,16
rưỡi,half,16
rượu,alcohol,16
sách,book,76
sáng,bright,17
sống,living,17
sóng,wave,17
sông,river,17
súng,gun,17
sừng,horn,17
suýt,almost,76
tăng,increase,17
tặng,donate,17
thăm,visit,77
thấp,short,77
thật,Real,77
thấy,see,77
theo,according to,77
thịt,meat,77
thuế,tax,78
tiền,money,78
tivi,television,78
toán,maths,79
trái,left,17
trai,male,17
trăm,hundred,79
trầu,betel,17
trâu,buffalo,17
trên,above,79
trời,God,17
trộn,mix,79
trưa,lunch,79
tuần,week,80
tuổi,year old,80
uống,drink,80
vàng,yellow,17
vâng,yes,17
việc,job,81
viện,institute,81
việt,Vietnamese,17
viết,write,17
vùng,region,81
xinh,pretty,82
xuân,spring,82
y tá,nurse,49
ấn độ,India,29
ba lô,backpack,63
bố mẹ,parents,41
ca sĩ,singer,64
chanh,lemon,18
chiếc,pieces,18
chiều,afternoon,18
chính,main,18
chống,resist,18
chồng,husband,18
chú ý,attention,18
chuối,banana,18
chuột,mouse,18
cô ấy,she,21
có lẽ,maybe,38
có vẻ,seemingly,58
dự án,project,18
dụ dỗ,enticement,29
đổ bộ,landing,23
đô la,dollar,18
đu đủ,papaya,18
đường,road,18
gương,mirror,18
hồ sơ,file,48
hướng,direction,18
kẻ ác,wicked,69
khoác,coat,18
không,are not,18
khuôn,mold,18
kỹ sư,engineer,19
ký ức,memory,19
lì xì,lucky money,19
luyện,practice,71
lý do,reason,29
miệng,mouth,19
muỗng,spoon,19
ngành,branch,19
nghèo,poor,19
nghìn,thousand,19
ngoài,outside,19
ngoan,good,19
người,people,19
nhanh,fast,19
nhiêu,many,19
nhiều,much,19
những,those,19
nhưng,but,19
nô lệ,slave,38
ở đây,here,28
ở trọ,accommodation,57
phòng,room,74
quyền,right,19
quyển,book,19
tháng,month,19
thắng,win,19
thang,ladder,19
thích,prefer,20
thiệp,card,20
thuốc,medicine,20
tiếng,language,20
tò mò,curious,41
trắng,white,20
triệu,million,20
trồng,plant,20
trong,in,20
trứng,egg,20
trước,before,20
tự do,free,29
tử tế,kind,20
tử vi,horoscope,20
tỷ lệ,proportion,20
ví dụ,for example,31
xa xỉ,luxury,82
ai cập,Egypt,24
ám chỉ,allude,24
ăn năn,repentant,41
anh ấy,he,21
áo dài,frock,27
ba lan,Poland,63
bác sĩ,doctor,60
bản án,judgment,20
bản đồ,map,29
bảo vệ,protect,58
bé gái,baby girl,63
béo bở,fat,23
bí mật,secret,40
bó tay,give up,49
bởi vì,because,59
bụ bẫm,plump,21
cả hai,both,33
cá heo,dolphin,64
cá mập,shark,64
cà phê,coffee,64
cá sấu,crocodile,47
cả tin,gullible,55
cảm ơn,Thanks,44
căn cứ,base,26
canada,Canada,64
cấp độ,level,29
cắt cổ,neck cut,26
cậu bé,little boy,64
cho dù,even though,31
chữ ký,signature,37
chương,chapter,65
chuyến,trip,65
cô đơn,lonely,30
cô gái,girl,60
cơ hội,opportunity,34
có thể,maybe,51
cơ thể,body,51
cố thủ,entrenched,53
cụ thể,specifically,51
cửa sổ,window,48
dài cổ,long neck,26
dân số,population,48
dầu ăn,oil,20
di sản,heritage,47
di tản,evacuate,66
di trú,immigration,57
dở hơi,crazy,34
dù sao,anyway,61
đam mê,passion,41
đáp án,answer,20
đập vỡ,smash,59
đầu tư,invest,57
đe doạ,threat,66
đề tài,subject,49
đến từ,adverb,57
địa lý,geography,40
độ sâu,depth,47
đồng ý,agree,67
gặp gỡ,encounter,67
ghi âm,record,67
giường,bed,67
hà lan,Netherlands,68
hà nội,Hanoi,44
hệ quả,consequences,46
hỗ trợ,support,57
hoạ sĩ,artist,68
hòn đá,stone,27
hy lạp,Greek,38
ích kỷ,selfish,37
kẻ thù,enemy,53
khoảng,about,69
khuyên,advise,70
la bàn,compass,21
lá bùa,charm,70
lạc đà,camel,27
làm ăn,do business,20
làm ơn,Please,44
lễ hội,festival,34
lệ phí,fees,45
ly hôn,divorce,35
mà còn,but also,71
mặc dù,in spite of,31
mê tín,superstition,55
mồ côi,orphaned,71
nhà ga,station,73
nha sĩ,dentist,73
nhà sư,monk,48
nhà tù,prison,57
nỗ lực,effort,39
nón lá,conical,37
phụ nữ,women,75
phường,ward,75
rủi ro,risk,47
sở hữu,own,76
sở thú,zoo,53
so với,compared to,59
sụp đổ,fall,29
tài xế,driver,60
tạo ra,create,76
tất cả,all,23
thế hệ,generation,77
thế kỷ,century,37
thủ đô,capital,29
thư ký,secretary,37
thứ tư,Wednesday,57
thuyết,preach,78
tìm ra,find,78
toà án,court,20
tốc độ,speed,29
tối đa,maximum,27
trở về,return,58
trường,school,79
tư bản,capital,21
tự hào,proud,33
tự tin,confident,55
tỷ giá,exchange rate,31
ủng hộ,donate,34
uỷ ban,committee,21
vấn đề,problem,28
vật lý,physics,40
vậy mà,but,80
vẻ đẹp,beauty,80
vĩ cầm,violin,24
vị trí,location,56
vớ vẩn,nonsense,58
vũ khí,weapon,36
vũ trụ,universe,57
vui vẻ,happy,58
xã hội,society,34
xảy ra,happen,82
xe đạp,bicycle,82
xe hơi,car,34
xe máy,motorbike,82
xu thế,trend,51
ý kiến,opinion,37
yếu tố,element,82
an ninh,security,63
an toàn,safe,56
áo lạnh,frozen,38
bài báo,article,22
bài hát,song,63
bạn gái,girlfriend,63
bàn tay,hand,49
bánh mì,bread,41
báo cáo,report,63
báo chí,press,24
bao gồm,include,33
bạo lực,violent,39
bảo thủ,conservative,53
bất cẩn,careless,24
bắt đầu,begin,27
bắt giữ,arrest,32
bất lợi,adverse,39
bất ngờ,surprise,43
bây giờ,now,32
bóc lột,exploit,63
bóng rổ,basketball,47
bừa bãi,indiscriminate,21
bực bội,annoyed,23
bụi bặm,dust,21
bút chì,pencil,24
cà chua,tomato,25
cá nhân,individual,43
cảm cúm,flu,64
cầu thủ,player,53
cây tre,bamboo,56
che chở,protect,65
chỉ huy,command,65
chi phí,expense,45
chia sẻ,share,65
chim sẻ,sparrow,65
cố gắng,try,60
cố tình,deliberately,55
cộc cằn,rough,24
cơm bụi,dusty rice,65
cơn bão,storm,22
còn hơn,more,35
công lý,justice,40
công ty,company,66
dân chủ,democracy,25
dang dở,unfinished,29
danh dự,honor,31
dễ dàng,easy,27
di chúc,testament,25
dịch vụ,service,59
dự đoán,forecast,29
du kích,guerrilla,61
du lịch,tourism,61
duy trì,maintain,56
đã từng,used to,61
đại học,university,60
đàn ông,man,66
đăng ký,register,37
đáng nể,respectable,42
đanh đá,stone,27
đạo đức,morality,30
đầu bếp,chef,66
đau đớn,painful,30
đến lúc,time,39
địa chỉ,address,24
độc lập,independence,38
đôi khi,sometimes,36
đối mặt,facing,40
đom đóm,firefly,67
đồng hồ,clock,34
đu quay,swing,47
đứa trẻ,kid,56
gan góc,grit,32
gần như,almost,62
ghen tị,jealous,62
ghi chú,note,25
giá trị,value,56
giận dữ,furious,31
giáo sư,professor,48
hành lý,luggage,40
hành vi,behavior,59
hậu quả,consequence,46
hết hạn,expired,33
họ hàng,relative,68
hoá đơn,invoice,30
hoá học,chemistry,68
hỏi giờ,breath,32
hôm nay,today,42
hôm qua,yesterday,46
hơn nữa,furthermore,68
hợp tác,cooperate,49
hy vọng,hope,68
kế toán,accountant,56
kéo dài,lengthen,27
kết nối,connect,44
kết quả,result,46
khí hậu,climate,69
khi nào,When,41
khu vực,area,70
kinh tế,economy,50
ký hiệu,symbol,33
kỹ năng,skill,41
làm bạn,make friends,21
làm sao,how,70
lặng lẽ,quiet,38
lặp lại,repeat,38
lâu đài,castle,27
lây lan,spread,70
leo cây,climb,70
lịch sự,polite,48
lịch sử,history,48
liên hệ,contact,70
liệt kê,list,35
lo lắng,worry,38
lơ lửng,floating,39
lợi thế,advantageous,51
lớp học,class,70
luật sư,lawyer,48
lúc này,now,42
mà cũng,but also,26
mạnh mẽ,strong,41
mẫu vật,sample,58
máy ảnh,camera,21
máy bay,plane,71
mấy giờ,what time,32
may mắn,lucky,40
mệt mỏi,tired,41
mọi thứ,everything,53
một khi,once,36
nam cực,Antarctica,26
nam phi,South Africa,45
nặng nề,heavy,42
nghệ sĩ,artist,72
ngư dân,fisherman,27
nhà báo,journalist,22
nhà hát,theater,73
nhà thơ,poet,52
nhà thờ,church,52
nhà văn,writer,58
nhạc sĩ,musician,73
nhận ra,realize,73
nhật ký,diary,37
như vậy,thus,73
nổi bật,outstanding,22
nổi dậy,revolt,28
nội địa,inland,28
nụ cười,smile,26
núi lửa,volcano,39
nước ép,juice,74
ổn định,stable,29
phá sản,bankrupt,47
phù hợp,fit,35
qua đời,death,30
quá khứ,past,75
quản lý,manage,40
quân sự,military,48
quốc tế,international,50
quý giá,valuable,31
ria mép,mustache,75
rõ ràng,clear,47
sài gòn,Saigon,33
sấm sét,thunder,76
sân bay,airport,76
sao hoả,Mars,34
sao kim,Venus,76
sao mộc,Jupiter,41
sao thổ,Saturn,52
sau khi,after,36
số phận,fate,44
so sánh,compare,47
sợi dây,rope,28
sử dụng,use,31
sự kiện,event,37
sự thật,truth,76
tác giả,author,31
tai nạn,accident,41
tâm trí,mind,56
tàn phá,devastated,44
tạp chí,magazine,24
tàu hoả,train ship,34
tê giác,rhino,32
tên lửa,missile,39
tha thứ,forgive,53
thái độ,attitude,29
thật là,truly,37
thật sự,actually,48
thế nào,how,41
thị lực,vision,39
thợ mộc,carpenter,41
thời sự,news,48
thu hút,attract,78
thủ thư,maiden,53
thức ăn,food,20
thuỵ sĩ,Switzerland,78
tiền tệ,money,50
tổ chức,organization,25
tờ giấy,paper,32
tổ tiên,ancestor,79
toà nhà,building,44
tối nay,tonight,42
tồn tại,exist,49
trả lời,reply,39
trở lại,return,38
trở nên,become,42
trừ khi,unless,36
tù binh,prisoner,23
từ chức,resign,25
từ điển,dictionary,28
tủ lạnh,fridge,38
tự mình,myself,80
tư nhân,private,43
ung thư,cancer,53
vai trò,role,57
văn bản,document,21
